Data,,,,,,,,,,,,,
,,,,,,,,,,,,,
Product ID,Product Name,Product Type,Category,Supplier,Purchase Price ($),Selling Price ($),Purchased Stock Quantity,Restock Level,Supplier Lead Time (Days),Units Sold,Store Location,Supplier Rating,Product Description
PID040,Marshall Emberton,Bluetooth Speaker,Electronics,Urban Supply Co.,452.13,628.4607,85,47,9,68,Houston,3.7,A portable Bluetooth speaker with deep bass and excellent sound clarity.
PID045,Wooden Bookshelf,Bookshelf,Furniture,Elite Distributors,1333.56,1853.6484,117,29,4,48,Houston,2.9,A modern bookshelf with multiple compartments for books and decorative items.
PID046,Metal Bookshelf,Bookshelf,Furniture,Elite Distributors,1097.59,1525.6501,176,44,7,52,Houston,4.4,A modern bookshelf with multiple compartments for books and decorative items.
PID049,Modular Bookshelf,Bookshelf,Furniture,Global Traders,1293.08,1797.3812,51,46,4,42,Houston,4,A modern bookshelf with multiple compartments for books and decorative items.
PID050,Glass Bookshelf,Bookshelf,Furniture,Elite Distributors,886.71,1232.5269,95,39,13,26,Houston,3.7,A modern bookshelf with multiple compartments for books and decorative items.
PID058,Wall-mounted Bookshelf,Bookshelf,Furniture,Urban Supply Co.,402.93,560.0727,125,28,11,125,Houston,4.1,A modern bookshelf with multiple compartments for books and decorative items.
PID068,Panasonic Lumix GH6,Camera,Electronics,Elite Distributors,808.66,1124.0374,52,19,10,18,Houston,4.7,A professional-grade camera with high-resolution imaging and video recording capabilities.
PID069,Fujifilm X-T5,Camera,Electronics,Urban Supply Co.,986.94,1371.8466,18,50,5,17,Houston,3.9,A professional-grade camera with high-resolution imaging and video recording capabilities.
PID071,Canon EOS R5,Camera,Electronics,Elite Distributors,1802.96,2506.1144,87,33,14,47,Houston,3,A professional-grade camera with high-resolution imaging and video recording capabilities.
PID073,Sony Alpha A7 IV,Camera,Electronics,Global Traders,1585.3,2203.567,63,18,8,60,Houston,2.8,A professional-grade camera with high-resolution imaging and video recording capabilities.
PID074,Nikon Z9,Camera,Electronics,Global Traders,406.17,564.5763,30,13,3,15,Houston,4,A professional-grade camera with high-resolution imaging and video recording capabilities.
PID085,Round Dining Table,Dining Table,Furniture,Global Traders,1473.76,2048.5264,101,40,9,47,Houston,3.3,A durable and elegant dining table that complements any dining room decor.
PID086,Marble Dining Table,Dining Table,Furniture,Global Traders,87.53,121.6667,179,10,13,51,Houston,3.9,A durable and elegant dining table that complements any dining room decor.
PID088,Glass Dining Table,Dining Table,Furniture,Global Traders,484.55,673.5245,135,24,6,36,Houston,3.7,A durable and elegant dining table that complements any dining room decor.
PID092,Expandable Dining Table,Dining Table,Furniture,Global Traders,375.43,521.8477,106,23,13,31,Houston,4.8,A durable and elegant dining table that complements any dining room decor.
PID094,Wooden Dining Table,Dining Table,Furniture,Global Traders,706.23,981.6597,111,7,11,41,Houston,3.4,A durable and elegant dining table that complements any dining room decor.
PID114,Apple AirPods Max,Headphones,Electronics,Global Traders,1991.36,2767.9904,23,10,15,13,Houston,2.9,High-quality noise-canceling headphones for an immersive audio experience.
PID115,Sony WH-1000XM5,Headphones,Electronics,Fast Retail,1135.88,1578.8732,17,28,3,9,Houston,4.8,High-quality noise-canceling headphones for an immersive audio experience.
PID117,Sennheiser HD 660S,Headphones,Electronics,Global Traders,579.36,805.3104,37,36,10,28,Houston,3.8,High-quality noise-canceling headphones for an immersive audio experience.
PID118,JBL Tune 750,Headphones,Electronics,Elite Distributors,679.35,944.2965,90,33,6,47,Houston,3.4,High-quality noise-canceling headphones for an immersive audio experience.
PID121,Bose QuietComfort 45,Headphones,Electronics,Global Traders,1450.37,2016.0143,19,19,4,15,Houston,5,High-quality noise-canceling headphones for an immersive audio experience.
PID133,MacBook Air M2,Laptop,Electronics,Elite Distributors,992.43,1379.4777,13,33,7,13,Houston,3.3,"A powerful laptop suitable for gaming, business, and creative professionals."
PID134,Dell XPS 15,Laptop,Electronics,Global Traders,885.14,1230.3446,76,46,8,28,Houston,4.5,"A powerful laptop suitable for gaming, business, and creative professionals."
PID137,Asus ROG Strix,Laptop,Electronics,Global Traders,1296.01,1801.4539,86,24,4,50,Houston,3.8,"A powerful laptop suitable for gaming, business, and creative professionals."
PID140,HP Spectre x360,Laptop,Electronics,Fast Retail,684.54,951.5106,33,40,10,12,Houston,3.5,"A powerful laptop suitable for gaming, business, and creative professionals."
PID141,Lenovo ThinkPad X1,Laptop,Electronics,Urban Supply Co.,615.5,855.545,68,15,15,18,Houston,4.9,"A powerful laptop suitable for gaming, business, and creative professionals."
PID153,Ergonomic Mesh Chair,Office Chair,Furniture,Elite Distributors,467.07,649.2273,183,10,9,96,Houston,4.7,An ergonomic office chair with lumbar support for all-day comfort.
PID155,Gaming Chair,Office Chair,Furniture,Fast Retail,584.63,812.6357,102,24,15,57,Houston,3.4,An ergonomic office chair with lumbar support for all-day comfort.
PID156,Adjustable Office Chair,Office Chair,Furniture,Elite Distributors,994.25,1382.0075,103,12,4,68,Houston,2.8,An ergonomic office chair with lumbar support for all-day comfort.
PID159,Leather Executive Chair,Office Chair,Furniture,Urban Supply Co.,547.4,760.886,28,11,10,21,Houston,4.5,An ergonomic office chair with lumbar support for all-day comfort.
PID160,Reclining Office Chair,Office Chair,Furniture,Global Traders,936.96,1302.3744,116,44,7,80,Houston,3.2,An ergonomic office chair with lumbar support for all-day comfort.
PID180,Samsung Galaxy S23,Smartphone,Electronics,Urban Supply Co.,733.5,1019.565,14,27,2,14,Houston,4.8,A high-performance smartphone with advanced camera features and long battery life.
PID181,OnePlus 11,Smartphone,Electronics,Elite Distributors,1492.87,2075.0893,87,48,14,77,Houston,4.4,A high-performance smartphone with advanced camera features and long battery life.
PID185,iPhone 14,Smartphone,Electronics,Global Traders,497.05,690.8995,85,31,7,75,Houston,5,A high-performance smartphone with advanced camera features and long battery life.
PID186,Xiaomi Mi 13,Smartphone,Electronics,Global Traders,1404.05,1951.6295,59,36,10,42,Houston,3.8,A high-performance smartphone with advanced camera features and long battery life.
PID187,Google Pixel 7,Smartphone,Electronics,Global Traders,905.35,1258.4365,25,11,7,12,Houston,2.6,A high-performance smartphone with advanced camera features and long battery life.
PID200,Apple Watch Series 8,Smartwatch,Electronics,Fast Retail,1781.66,2476.5074,57,36,12,30,Houston,2.8,A sleek and feature-rich smartwatch with health tracking and notifications.
PID201,Amazfit GTR 4,Smartwatch,Electronics,Global Traders,946.39,1315.4821,75,35,8,25,Houston,3.3,A sleek and feature-rich smartwatch with health tracking and notifications.
PID202,Garmin Fenix 7,Smartwatch,Electronics,Elite Distributors,658.68,915.5652,53,47,13,37,Houston,4.1,A sleek and feature-rich smartwatch with health tracking and notifications.
PID203,Fitbit Sense 2,Smartwatch,Electronics,Elite Distributors,1711.01,2378.3039,57,41,13,56,Houston,3.4,A sleek and feature-rich smartwatch with health tracking and notifications.
PID204,Samsung Galaxy Watch 5,Smartwatch,Electronics,Global Traders,1540.75,2141.6425,57,6,15,41,Houston,4.6,A sleek and feature-rich smartwatch with health tracking and notifications.
PID223,Modular Sofa,Sofa Set,Furniture,Urban Supply Co.,447.56,622.1084,25,30,13,15,Houston,3.1,A stylish and comfortable sofa set designed for modern living spaces.
PID224,Recliner Sofa,Sofa Set,Furniture,Global Traders,368.53,512.2567,183,31,9,158,Houston,3.3,A stylish and comfortable sofa set designed for modern living spaces.
PID225,L-shaped Sofa,Sofa Set,Furniture,Urban Supply Co.,113.91,158.3349,47,48,9,31,Houston,3.9,A stylish and comfortable sofa set designed for modern living spaces.
PID226,Sectional Sofa,Sofa Set,Furniture,Global Traders,1305.16,1814.1724,187,16,14,126,Houston,4.9,A stylish and comfortable sofa set designed for modern living spaces.
PID228,Chesterfield Sofa,Sofa Set,Furniture,Fast Retail,254.71,354.0469,119,34,7,111,Houston,3.5,A stylish and comfortable sofa set designed for modern living spaces.
PID246,Lenovo Tab P11,Tablet,Electronics,Fast Retail,1387.88,1929.1532,56,50,13,20,Houston,4.8,"A lightweight tablet with a stunning display and long battery life, perfect for work and entertainment."
PID247,Microsoft Surface Pro 9,Tablet,Electronics,Elite Distributors,668.52,929.2428,26,23,12,24,Houston,2.8,"A lightweight tablet with a stunning display and long battery life, perfect for work and entertainment."
PID248,Amazon Fire HD 10,Tablet,Electronics,Global Traders,1262.12,1754.3468,48,43,14,22,Houston,4.3,"A lightweight tablet with a stunning display and long battery life, perfect for work and entertainment."
PID250,Samsung Galaxy Tab S8,Tablet,Electronics,Global Traders,358.36,498.1204,67,6,15,18,Houston,2.6,"A lightweight tablet with a stunning display and long battery life, perfect for work and entertainment."
PID254,iPad Pro 12.9,Tablet,Electronics,Global Traders,1210.29,1682.3031,21,30,3,9,Houston,2.6,"A lightweight tablet with a stunning display and long battery life, perfect for work and entertainment."
,,,,,,,,,,,,,
PID263,Modern TV Stand,TV Stand,Furniture,Fast Retail,1072.08,1490.1912,141,26,10,116,Houston,3.9,A contemporary TV stand with open shelves and cable management features.
PID265,Floating TV Stand,TV Stand,Furniture,Fast Retail,1399.39,1945.1521,197,16,5,74,Houston,3.7,A contemporary TV stand with open shelves and cable management features.
PID266,Wooden TV Stand,TV Stand,Furniture,Elite Distributors,1118.78,1555.1042,32,37,6,20,Houston,2.7,A contemporary TV stand with open shelves and cable management features.
PID268,Minimalist TV Stand,TV Stand,Furniture,Global Traders,1193.36,1658.7704,91,43,13,57,Houston,3.8,A contemporary TV stand with open shelves and cable management features.
PID270,Glass TV Stand,TV Stand,Furniture,Urban Supply Co.,611.54,850.0406,46,33,14,26,Houston,4.6,A contemporary TV stand with open shelves and cable management features.
PID285,Walk-in Wardrobe,Wardrobe,Furniture,Elite Distributors,87.61,121.7779,126,33,13,38,Houston,3.3,A spacious wardrobe with sliding doors and customizable storage options.
PID287,Compact Wardrobe,Wardrobe,Furniture,Global Traders,899.44,1250.2216,50,9,6,40,Houston,3.8,A spacious wardrobe with sliding doors and customizable storage options.
PID288,Sliding Door Wardrobe,Wardrobe,Furniture,Urban Supply Co.,554.35,770.5465,152,44,4,144,Houston,3.8,A spacious wardrobe with sliding doors and customizable storage options.
PID290,Mirrored Wardrobe,Wardrobe,Furniture,Elite Distributors,1124.34,1562.8326,144,42,10,57,Houston,3.2,A spacious wardrobe with sliding doors and customizable storage options.
PID293,2-Door Wardrobe,Wardrobe,Furniture,Global Traders,539.73,750.2247,45,41,5,43,Houston,3.4,A spacious wardrobe with sliding doors and customizable storage options.
PID001,Metal Frame Bed,Bed Frame,Furniture,Elite Distributors,863.68,1200.5152,70,38,13,66,Los Angeles,2.9,A sturdy and stylish bed frame with ample storage options.
PID002,King Size Bed,Bed Frame,Furniture,Fast Retail,1275.74,1773.2786,35,22,2,15,Los Angeles,3.8,A sturdy and stylish bed frame with ample storage options.
PID003,Queen Size Bed,Bed Frame,Furniture,Global Traders,323.75,450.0125,152,22,3,137,Los Angeles,3.7,A sturdy and stylish bed frame with ample storage options.
PID006,Storage Bed,Bed Frame,Furniture,Global Traders,1327.28,1844.9192,189,20,5,72,Los Angeles,4.5,A sturdy and stylish bed frame with ample storage options.
PID023,JBL Charge 5,Bluetooth Speaker,Electronics,Fast Retail,185.38,257.6782,31,26,12,28,Los Angeles,2.5,A portable Bluetooth speaker with deep bass and excellent sound clarity.
PID024,Ultimate Ears Boom 3,Bluetooth Speaker,Electronics,Elite Distributors,1822.72,2533.5808,47,39,12,38,Los Angeles,3.1,A portable Bluetooth speaker with deep bass and excellent sound clarity.
PID028,Sony SRS-XB43,Bluetooth Speaker,Electronics,Urban Supply Co.,554.35,770.5465,27,24,6,26,Los Angeles,4.3,A portable Bluetooth speaker with deep bass and excellent sound clarity.
PID029,Bose SoundLink Revolve+,Bluetooth Speaker,Electronics,Urban Supply Co.,1592.78,2213.9642,66,19,8,30,Los Angeles,4,A portable Bluetooth speaker with deep bass and excellent sound clarity.
PID040,Marshall Emberton,Bluetooth Speaker,Electronics,Urban Supply Co.,452.13,628.4607,87,47,9,64,Los Angeles,3.7,A portable Bluetooth speaker with deep bass and excellent sound clarity.
PID045,Wooden Bookshelf,Bookshelf,Furniture,Elite Distributors,1333.56,1853.6484,185,29,4,105,Los Angeles,2.9,A modern bookshelf with multiple compartments for books and decorative items.
PID046,Metal Bookshelf,Bookshelf,Furniture,Elite Distributors,1097.59,1525.6501,132,44,7,50,Los Angeles,4.4,A modern bookshelf with multiple compartments for books and decorative items.
PID049,Modular Bookshelf,Bookshelf,Furniture,Global Traders,1293.08,1797.3812,77,46,4,38,Los Angeles,4,A modern bookshelf with multiple compartments for books and decorative items.
PID050,Glass Bookshelf,Bookshelf,Furniture,Elite Distributors,886.71,1232.5269,37,39,13,15,Los Angeles,3.7,A modern bookshelf with multiple compartments for books and decorative items.
PID058,Wall-mounted Bookshelf,Bookshelf,Furniture,Urban Supply Co.,402.93,560.0727,66,28,11,35,Los Angeles,4.1,A modern bookshelf with multiple compartments for books and decorative items.
PID068,Panasonic Lumix GH6,Camera,Electronics,Elite Distributors,808.66,1124.0374,61,19,10,47,Los Angeles,4.7,A professional-grade camera with high-resolution imaging and video recording capabilities.
PID069,Fujifilm X-T5,Camera,Electronics,Urban Supply Co.,986.94,1371.8466,86,50,5,27,Los Angeles,3.9,A professional-grade camera with high-resolution imaging and video recording capabilities.
PID071,Canon EOS R5,Camera,Electronics,Elite Distributors,1802.96,2506.1144,34,33,14,33,Los Angeles,3,A professional-grade camera with high-resolution imaging and video recording capabilities.
PID073,Sony Alpha A7 IV,Camera,Electronics,Global Traders,1585.3,2203.567,12,18,8,12,Los Angeles,2.8,A professional-grade camera with high-resolution imaging and video recording capabilities.
PID074,Nikon Z9,Camera,Electronics,Global Traders,406.17,564.5763,35,13,3,9,Los Angeles,4,A professional-grade camera with high-resolution imaging and video recording capabilities.
PID085,Round Dining Table,Dining Table,Furniture,Global Traders,1473.76,2048.5264,138,40,9,78,Los Angeles,3.3,A durable and elegant dining table that complements any dining room decor.
PID086,Marble Dining Table,Dining Table,Furniture,Global Traders,87.53,121.6667,116,10,13,75,Los Angeles,3.9,A durable and elegant dining table that complements any dining room decor.
PID088,Glass Dining Table,Dining Table,Furniture,Global Traders,484.55,673.5245,143,24,6,101,Los Angeles,3.7,A durable and elegant dining table that complements any dining room decor.
